lagtime	NRF_p<3|all	NRF_p=3-6|all	NRF_p=6-9|all	NRF_p=9-12|all	se_p<3|all	se_p=3-6|all	se_p=6-9|all	se_p=9-12|all
79	0.00456793703987948	0.00675353095557929	0.0148823601387976	0.0147127853213866	0.000486937951446469	0.00125267266547003	0.00275916495911014	0.00555782325468329
80	0.00470960957365543	0.00785210145364093	0.0182506459414945	0.0176741037190434	0.000486889766710456	0.00125266271741862	0.00275913695607764	0.00555781951032325
81	0.00451852919104888	0.00645175398098125	0.0128034044906454	0.0136240695234731	0.000486809983724419	0.00125262005390943	0.00275907834045476	0.00555785918755226
82	0.00473741331023908	0.00692954492503104	0.0114134407559359	0.00928006037029537	0.000486730390994102	0.00125258572741058	0.00275902003168274	0.00555786167535557
83	0.00437732458756716	0.00662308473148995	0.0154958286398757	0.0137566020599859	0.000486652657241948	0.00125251282981927	0.00275900223998811	0.00555787971363916
84	0.00460921150983784	0.00693589972564736	0.0151184969213604	0.0145557741315912	0.0004865931238815	0.00125247390846017	0.00275899984294189	0.005557916879144
85	0.00462019035868329	0.00740744270657295	0.0149734311949945	0.0121605664109784	0.000486515369497087	0.00125244223398716	0.00275895359336074	0.00555792070619115
86	0.00492827374639339	0.0073905156521851	0.0133366773200495	0.011714485989846	0.000486414883710039	0.00125240860919164	0.00275894364407028	0.0055578863392167
87	0.00457090029621152	0.00570221508223295	0.0111685787084336	0.0103233423727267	0.000486312378427131	0.00125238986761337	0.00275890534913016	0.00555784356285975
88	0.00416810800015568	0.00459802455683106	0.010614191526236	0.0124885513374983	0.000486199799537482	0.00125235261905874	0.00275890120641974	0.00555775677593696
89	0.00388697313141881	0.00451971160249939	0.00686678751763482	0.00935860243024021	0.000486104666732642	0.001252287919009	0.00275889673755542	0.00555770366637003
90	0.00434210224240323	0.00552830474771843	0.00484748798450372	0.00716766337460832	0.000486032976760963	0.00125223681674635	0.00275899702950038	0.00555773268915041
91	0.00462390746371449	0.0053710063567207	0.00337967948069882	0.00549714776880039	0.000485933704685288	0.00125217349678745	0.00275920943329307	0.00555773674611315
92	0.00504204580515099	0.00611949251655868	0.00494565784059638	0.00627000019311033	0.000485800285606676	0.00125210205872086	0.00275951023116338	0.00555780027347086
93	0.00488691296863109	0.00576982896275929	0.00309338118759965	0.00592610619439104	0.000485681862944584	0.00125204650458096	0.00275965298902943	0.00555783970359616
