lagtime	RRD_pR|all	RRD_pB|all	se_pR|all	se_pB|all
115	0.000593955035483491	0.000445397343884696	0.000267993392699867	0.000324102637590466
116	0.000575255615375117	0.000409909504152829	0.000268321573604014	0.000324621075008649
117	0.00057834302215056	0.000384958693467934	0.000268633230019695	0.000325132328063714
118	0.000549350271288523	0.000380459852312544	0.000268923047836585	0.000325589032628713
119	0.00054577906005945	0.000390931608459646	0.000269181957100281	0.000325997365984553
120	0.000503752269011312	0.000463213918877624	0.000269404426803961	0.00032633839345435
121	0.00052372428804443	0.00045560000279276	0.000269607318697719	0.000326622702147712
122	0.000577321346523688	0.00046646503040436	0.00026979444002821	0.000326884580896149
123	0.00053694339379972	0.000493180280514106	0.000269960199231966	0.000327116528869909
124	0.000522936320442401	0.00053631354833902	0.000270109734291053	0.000327348926585202
125	0.0005017060136171	0.000521795884078335	0.000270235925147983	0.000327568905066498
126	0.000483175052751038	0.000500846905671428	0.000270348684796667	0.00032777418063401
127	0.000478865048189209	0.000532031704675516	0.000270457162289904	0.000327943644442794
128	0.000463384183004534	0.000523203140119448	0.000270567015642098	0.000328109511549352
129	0.000453530752083866	0.000559625748545813	0.000270669076873024	0.000328279239903443
130	0.000464455627554347	0.000536704448422394	0.000270763073782128	0.000328442164248611
131	0.000463429514732509	0.000534244192898423	0.000270846529277323	0.000328599828654481
132	0.000471487545145962	0.000499836472124451	0.000270921562292507	0.000328754397102452
133	0.000470248021205238	0.000476384017163488	0.000270990854825033	0.000328897564486285
134	0.00047196005298831	0.000511730225784402	0.000271052900509893	0.000329036437625048
135	0.000481518899357407	0.000508504745032235	0.000271112900791835	0.000329169655108609
136	0.000479446298734512	0.000600844019402024	0.000271162249344652	0.0003292976759125
137	0.00047345745049949	0.000567254239757113	0.000271207555249414	0.000329416579849069
138	0.000478955819175052	0.00052997172630466	0.000271248460683325	0.000329531765849712
139	0.000474820625175757	0.000487297674254336	0.000271282909889233	0.000329646336595963
140	0.000465033149504665	0.000399981374804554	0.000271317836580038	0.000329755697181981
141	0.00046915911022485	0.00037155386995349	0.000271347482402118	0.000329861429209193
142	0.00053186700624547	0.000380542723417841	0.000271369940991349	0.000329959403054056
143	0.000548190103510566	0.000363669001639651	0.000271373387997088	0.000330043534814593
144	0.0005656951735087	0.000388075057784412	0.000271354030716617	0.000330116540828373
145	0.000540568246804576	0.000372461173804237	0.000271319043606071	0.000330172276120363
146	0.000491811536468466	0.000374504863102605	0.00027127966843362	0.000330213872019318
147	0.000492770327575464	0.00039450150976055	0.000271239818221254	0.000330245456284202
148	0.000399356340868453	0.000396135412431956	0.000271197890819703	0.000330267824791418
149	0.000374164823873035	0.000428732577730195	0.000271160979322732	0.000330267936294796
150	0.00038055183480132	0.000458451590258013	0.000271129324992528	0.000330316487774568
151	0.000342407108066909	0.000460340649834203	0.000271083087171897	0.000330385117642568
152	0.000311512064452264	0.000441704415548242	0.000271000982694182	0.000330459375278311
153	0.000302948107896896	0.000447021537430973	0.000270890707451322	0.000330527737138095
154	0.000272578651566875	0.000458928281904152	0.000270756605561748	0.000330597202687861
155	0.000275027883074893	0.000510730360677615	0.000270602745139816	0.000330666480485646
156	0.000279759910503005	0.000578891859012213	0.000270439697021424	0.000330735634195605
