lagtime	RRD_p|antQ0.00876-0.1	RRD_p|antQ0.1-0.2	RRD_p|antQ0.2-0.5	RRD_p|antQ0.5-1	RRD_p|antQ1-20.2	se_p|antQ0.00876-0.1	se_p|antQ0.1-0.2	se_p|antQ0.2-0.5	se_p|antQ0.5-1	se_p|antQ1-20.2
38	-0.00110275893039338	0.00241075669610176	0.00404379051352672	0.00538011132777366	0.00223793690615244	0.000395260739866558	0.000404894538016067	0.000306441558568057	0.000426567586047946	0.000367478396851878
39	-0.00139598435078346	0.00265369348955961	0.00417626874121147	0.00635263922615671	0.00264096144211085	0.000395278570889834	0.000404937089436729	0.000306461956879949	0.000426557983557216	0.00036748114201637
40	-0.00124662417304037	0.00272002592828534	0.00433165507967989	0.0044319971134107	0.00168983175944922	0.000395279438720419	0.000404977586425123	0.000306483115288868	0.000426545481506591	0.000367491855365646
41	-0.0012381632540539	0.00240183783242943	0.00405999519200161	0.00435140788863517	0.00211897278888399	0.000395269343960753	0.000405058566089641	0.000306503254125283	0.000426516358886113	0.000367494962317586
42	-0.00150523646207642	0.00283684397154828	0.00366600448141736	0.00429281257674491	0.00221476843089782	0.00039526119461749	0.000405104308315042	0.000306511430258292	0.000426499298424015	0.000367486061576387
43	-0.00155004135195511	0.00314808827838657	0.0040617968643324	0.00379142566897155	0.00162687355019472	0.000395252927445458	0.000405124063453245	0.000306544887318912	0.000426491147101526	0.000367482074791262
44	-0.00171006817995039	0.00232624776539722	0.0037779200509561	0.00366562413381498	0.00167460738437655	0.000395254049136547	0.000405133596135441	0.000306566679057262	0.000426502884075901	0.000367477936049104
45	-0.00139675197272624	0.00253360774541174	0.00352679249661086	0.00410338344547213	0.00151947992652607	0.000395260246653373	0.000405142667665384	0.00030660328389697	0.000426512871343716	0.000367477907422913
46	-0.00141526968892049	0.00271687929801543	0.00335070257508603	0.00423982406604663	0.00140674692872686	0.000395233546135234	0.000405156945357015	0.000306641356815268	0.000426520319041671	0.00036746347398575
47	-0.00100545664956461	0.00331458538995794	0.00371694226460512	0.00402110810510179	0.00159888669551466	0.000395201380694499	0.000405161267281982	0.000306668825635064	0.000426524438414137	0.000367459475454056
48	-0.000699694278819568	0.00321979154284445	0.0034767793173732	0.00361684690036749	0.0011173254453966	0.000395172335669847	0.000405224239825117	0.000306698684870667	0.00042652796746697	0.000367430032860252
49	-0.000775710325731991	0.00286671485712518	0.00372018930782624	0.00335725668638922	0.00145906814315637	0.000395166246841991	0.000405273302759952	0.00030670497687085	0.000426533293719511	0.000367355852441485
50	-0.00119910434876499	0.00286561105933348	0.00380443245617341	0.0038415892192744	0.00131799081607011	0.000395164059080985	0.000405313107406964	0.000306709267849461	0.000426540047729229	0.000367336811023103
51	-0.00177209922861172	0.00234748576838185	0.00370065053645245	0.00345071084464994	0.00071339666720591	0.000395163741523592	0.000405329485981779	0.000306720404004449	0.000426537319487301	0.000367336020196589
52	-0.00179214380582656	0.00224355976733741	0.00339151674154716	0.00334090313287016	0.000431423981035564	0.000395157636767305	0.000405343530858373	0.000306716630716106	0.000426520877555659	0.00036734016317104
53	-0.00171784922538284	0.00239846691158701	0.00378315974567346	0.00345909384220002	0.000913850875230851	0.000395151189311794	0.000405348799566357	0.000306657609219297	0.000426523771355069	0.000367334047169
54	-0.00122473562031532	0.00214030728660338	0.00380671379904821	0.00311712313053514	0.00109552578829763	0.000395137131378432	0.000405358344609161	0.00030662854309911	0.000426536067074661	0.00036733507925095
55	-0.00101728072386962	0.0020107815813809	0.00378869254647783	0.00345753571169981	0.00178362750762513	0.000395128137039042	0.000405358986930577	0.000306596622706285	0.000426555020402081	0.000367332952159935
56	-0.00153190674082849	0.00164926520609685	0.00312214787485391	0.00288459003808508	0.00131087877209476	0.000395110040219245	0.000405343088132691	0.000306576084328102	0.000426568605632563	0.000367329108031612
57	-0.00151060307466804	0.00151167517176227	0.00292690735187432	0.00229793933292825	0.000426366166155401	0.0003950908689635	0.000405319448246364	0.000306555533748588	0.000426575517947359	0.000367330916674517
58	-0.00115057494165616	0.00203186850752719	0.0033190339407497	0.00258889207289556	0.00017806987662505	0.000395047408637683	0.000405292674664789	0.000306524591204084	0.000426577688933918	0.00036733364489945
59	-0.00108943218230624	0.00205498171206288	0.00332940899580838	0.00249443445269494	0.000311770243625454	0.000394945329998621	0.00040527358632295	0.000306495686778299	0.000426570482803647	0.000367337903007282
60	-0.00129445965923542	0.00146815826194336	0.00347338950725862	0.00257494308503905	0.000688952894507483	0.000394825576460906	0.000405254575874539	0.000306447181712361	0.000426563906661522	0.000367339435854311
61	-0.00141417907285778	0.00159543049861304	0.00436215072613344	0.0031101890019696	0.00153101498822413	0.000394751226959245	0.000405244430428056	0.000306397405837078	0.000426549973095225	0.000367345767095342
62	-0.00123274923437405	0.00166743545864569	0.00322683913357472	0.00342837307229706	0.000960870855364128	0.000394705863003033	0.000405227541382686	0.000306357877529295	0.000426524055569362	0.000367338153992157
63	-0.00119551279636686	0.0017453033184845	0.00315564247151524	0.00228777282272321	0.00041050497122987	0.000394687293933343	0.00040520626626436	0.00030632020613045	0.000426510416030293	0.000367283948546975
64	-0.00141238984600572	0.00218357751288176	0.00322784710424275	0.00204879458007059	0.000571571194173684	0.000394658084343529	0.0004051777817118	0.000306304762144263	0.000426515560763698	0.000367234474742122
65	-0.00157958459950649	0.00237609187764402	0.00302382560526019	0.00216955644694031	0.000920488422268615	0.000394627526559022	0.00040514827085376	0.000306282943468262	0.000426535110591916	0.000367145819758356
66	-0.0013927583628549	0.00189228754467102	0.00295648317649554	0.00180774521055288	0.000457536871345196	0.000394598461242308	0.000405124880563768	0.000306256022057747	0.000426551803185159	0.000367130347120618
67	-0.00160657453363922	0.00135832945530885	0.00306895242363215	0.00164679110504178	0.000577876422470362	0.000394429545777108	0.000405089303745213	0.000306226370115398	0.00042656967088304	0.0003671335052081
68	-0.0017039337287717	0.00129095739610318	0.00292009328868582	0.00132888745942157	0.00125946395189533	0.000394339230802233	0.000405033037177308	0.000306196938321375	0.000426549560626051	0.000367125278343634
69	-0.000999628442470113	0.00126036383508773	0.00240316046538806	0.001905729297965	0.00123999271026783	0.000394283467675124	0.000404971895082555	0.000306186952061184	0.000426551015415197	0.000367113951199554
70	-0.000979712720100783	0.00127308041881448	0.00302335239006076	0.00208815412791989	0.00145816992901809	0.000394260626633853	0.000404930232019999	0.000306183088723028	0.000426521001418078	0.000367101226086154
71	-0.00137673276824515	0.00122728661321631	0.003399758803621	0.00175805807249505	0.00132882201975915	0.000394223405900046	0.000404905315381284	0.000306185136095121	0.000426406580542517	0.000367110120079374
72	-0.00126117401841973	0.000907806071575457	0.00315019786557906	0.00231055448346525	0.000798254914826719	0.000394197816932953	0.000404888577218994	0.000306182469354228	0.00042629423513582	0.000367101662480894
