setwm_label	lwr_antVPD	lwr_antQ	upr_antVPD	upr_antQ	mean_antVPD	mean_antQ	wtd_meanp	pvol	tpeak	tpeak_se	NRF_peakht	NRF_peakht_se	width	width_se	rc	rc_se	rsum	rsum_se	n.nz
p<2|antVPD0.0932-2.59|antQ0.00876-0.1	0.0932	0.00875866	2.589898865	0.1	0.201594242095307	0.0571251670956198	0.97066364111581	0.97066364111581	46.2118477772768	1.83209104831107	0.00113484963351665	0.00109137713077705	5.74479383616211	2.2197655698944	-0.197348154583175	0.0142476895659689	-0.191558678295191	0.0138297142315911	3921
p=2-4|antVPD0.0932-2.59|antQ0.00876-0.1	0.0932	0.00875866	2.589898865	0.1	0.201594242095307	0.0571251670956198	2.91774455329727	2.91774455329727	4.64117277783477	0.520240378664332	0.0148975405959402	0.00283419728707878	4.28762335203275	0.654169686653566	-0.120379242082614	0.0122456110856424	-0.3512358779166	0.0357295650469299	425
p=4-6|antVPD0.0932-2.59|antQ0.00876-0.1	0.0932	0.00875866	2.589898865	0.1	0.201594242095307	0.0571251670956198	5.01387738950445	5.01387738950445	3.69593381523901	0.188019476515519	0.0794651688821934	0.00747963182581941	4.7035663517404	0.418928844739013	0.0876831735943205	0.0144871526273753	0.439632681524557	0.072636806996697	121
p=6-10|antVPD0.0932-2.59|antQ0.00876-0.1	0.0932	0.00875866	2.589898865	0.1	0.201594242095307	0.0571251670956198	7.55273354894888	7.55273354894888	2.9145342742696	0.102101322029979	0.145370618582807	0.00761415301712327	3.77698662889244	0.276655724458141	0.0955439937676269	0.0160024632410635	0.721618327129318	0.120862340986602	38
p<2|antVPD0.0932-2.59|antQ0.1-0.2	0.0932	0.1	2.589898865	0.2	0.160795978102023	0.147417279754561	0.950946382325671	0.950946382325671	6.5736957776184	0.362509767082366	0.00758915625511574	0.00129431287957739	11.4763388351292	1.47825465804382	0.181580493474353	0.0163690782865805	0.172673313370346	0.0155661157786295	2896
p=2-4|antVPD0.0932-2.59|antQ0.1-0.2	0.0932	0.1	2.589898865	0.2	0.160795978102023	0.147417279754561	2.90177879618256	2.90177879618256	3.96780814066412	0.196725802952078	0.0512229377723972	0.00355247929205287	9.05637256097567	1.26459412708255	0.3221090741612	0.0159670628039025	0.934689281458964	0.0463328842816794	256
p=4-6|antVPD0.0932-2.59|antQ0.1-0.2	0.0932	0.1	2.589898865	0.2	0.160795978102023	0.147417279754561	4.9671057253249	4.9671057253249	3.45186656339802	0.195941056578903	0.135239347252827	0.0112488951818429	4.8712223650182	0.343358026671262	0.413272251032025	0.0191023844578355	2.05276696421908	0.094883563207872	70
p=6-10|antVPD0.0932-2.59|antQ0.1-0.2	0.0932	0.1	2.589898865	0.2	0.160795978102023	0.147417279754561	7.68196625459405	7.68196625459405	2.79161958182442	0.1500290458342	0.291299442607972	0.0319569014276281	4.44979690155372	0.545100591768112	0.489063954841886	0.0271430752022103	3.75697279743368	0.208512187749288	12
p<2|antVPD0.0932-2.59|antQ0.2-0.5	0.0932	0.2	2.589898865	0.5	0.1375180599679	0.318885097234391	0.988181952980397	0.988181952980397	7.80952152613571	0.367059035703242	0.0117406384374857	0.00108788200109143	9.62449626027246	0.466726249313209	0.388599165995566	0.0126594539010259	0.384006682780052	0.0125098438795811	4329
p=2-4|antVPD0.0932-2.59|antQ0.2-0.5	0.0932	0.2	2.589898865	0.5	0.1375180599679	0.318885097234391	2.95956987732732	2.95956987732732	3.8808182857831	0.13334133787387	0.0986132761757479	0.00491106835256925	7.36245621255895	0.441087551036475	0.649432800175215	0.0125489587536667	1.9220417527469	0.037139520319175	430
p=4-6|antVPD0.0932-2.59|antQ0.2-0.5	0.0932	0.2	2.589898865	0.5	0.1375180599679	0.318885097234391	4.94070284341209	4.94070284341209	3.48664026683701	0.137281889010684	0.249296773235191	0.0134309081756964	5.71171947298501	0.444682095004531	0.763828028655955	0.0169520993610438	3.77384731305833	0.0837552855149133	88
p=6-10|antVPD0.0932-2.59|antQ0.2-0.5	0.0932	0.2	2.589898865	0.5	0.1375180599679	0.318885097234391	7.46253504205046	7.46253504205046	2.75331018755711	0.161093056874424	0.543294127613595	0.0591484090977028	3.9301228452939	0.374192478616159	0.820240126986257	0.021737768135392	6.12107069053087	0.162218856446331	24
p<2|antVPD0.0932-2.59|antQ0.5-1	0.0932	0.5	2.589898865	1	0.1261570502258	0.684727286373051	1.04687645716249	1.04687645716249	4.8053481264257	0.380146445897644	0.0261595896154849	0.00168596059732348	11.5955537623284	1.11093071440348	0.716699810856664	0.0193332807096157	0.750296158838652	0.0202395564146104	1723
p=2-4|antVPD0.0932-2.59|antQ0.5-1	0.0932	0.5	2.589898865	1	0.1261570502258	0.684727286373051	2.98308500627353	2.98308500627353	3.70204847574425	0.193460665874927	0.152972622008068	0.0115707105808888	6.66826870735617	0.925838359569417	0.727906513256349	0.0173347881235534	2.17140700566386	0.0517111465383006	223
p=4-6|antVPD0.0932-2.59|antQ0.5-1	0.0932	0.5	2.589898865	1	0.1261570502258	0.684727286373051	4.9426918061291	4.9426918061291	2.77653442748585	0.0905396068344336	0.383370422195228	0.0197644428658596	4.42604417706256	0.302553112897929	0.718566137903441	0.0213839761923304	3.55165096197717	0.105694403908291	56
p=6-10|antVPD0.0932-2.59|antQ0.5-1	0.0932	0.5	2.589898865	1	0.1261570502258	0.684727286373051	7.50677570093458	7.50677570093458	3.27118230295122	0.322930746574565	0.860333070402326	0.110227282910499	4.97685202878873	0.343323234421195	0.799677903913772	0.0376218118244397	6.0030026576742	0.282418502828837	9
p<2|antVPD0.0932-2.59|antQ1-20.2	0.0932	1	2.589898865	20.18325015	0.116523259755769	1.70620772063704	1.04206678135752	1.04206678135752	3.26571586286368	0.200838307630885	0.0489299231328385	0.0058552243695642	8.0169237086925	0.763587534595862	0.70094060562165	0.0350745401166697	0.730426920822946	0.0365500131269733	570
p=2-4|antVPD0.0932-2.59|antQ1-20.2	0.0932	1	2.589898865	20.18325015	0.116523259755769	1.70620772063704	3.07488614183474	3.07488614183474	3.26737568050792	0.235749320951234	0.196654846004719	0.0242652791013742	4.81091515694185	0.499590487917081	0.502251704080563	0.0271575208595922	1.54436680459021	0.0835062845377481	103
p=4-6|antVPD0.0932-2.59|antQ1-20.2	0.0932	1	2.589898865	20.18325015	0.116523259755769	1.70620772063704	4.81563116370809	4.81563116370809	2.70620607813446	0.161594746303474	0.495403038658884	0.0690411125806048	3.42117915929703	0.455137440751322	0.519889260437063	0.0348051128710673	2.50359492423787	0.167608586198289	26
p=6-10|antVPD0.0932-2.59|antQ1-20.2	0.0932	1	2.589898865	20.18325015	0.116523259755769	1.70620772063704	7.31443075321069	7.31443075321069	2.56754279040764	0.149058040776669	1.02630323368302	0.124956321607589	3.18085306700935	0.312609554073923	0.790023391723885	0.0391436741382349	5.778571392181	0.286313693910363	10
