lagtime	wtd_avg_RRD_p|antQ0.0221-0.1	wtd_avg_RRD_p|antQ0.1-0.2	wtd_avg_RRD_p|antQ0.2-0.4	wtd_avg_RRD_p|antQ0.4-2.86	se_p|antQ0.0221-0.1	se_p|antQ0.1-0.2	se_p|antQ0.2-0.4	se_p|antQ0.4-2.86
63	-0.00144669497890795	0.00121725007771529	0.00253690159711637	0.00243959736963283	0.000233645098447158	0.000192090426500147	0.000196198578935875	0.000226947825076541
64	-0.00148989551586448	0.0011294272451241	0.00269452050565375	0.0026808272814778	0.000233626696449938	0.000192085528258727	0.000196203688700784	0.000226920742334793
65	-0.00143597631382777	0.00122169962538819	0.00267710088842009	0.00283337631077897	0.000233617452806315	0.000192077394002276	0.000196194704292367	0.000226889270470177
66	-0.0014250533493996	0.00133157178911571	0.00273926985557561	0.0027596216873229	0.000233595362486299	0.000192077897389881	0.000196175847718609	0.000226852094140053
67	-0.00148124026713898	0.00133215595395918	0.002756675911572	0.00256715787845996	0.000233554479014116	0.000192093585112462	0.000196186288741022	0.000226815967237373
68	-0.00142251885395624	0.00121321595906683	0.00267315970921753	0.00258643453867639	0.000233518648295212	0.000192103179415136	0.000196188047717785	0.000226784803367327
69	-0.00125933655111037	0.001076585601978	0.00259443308065244	0.00263549174543347	0.000233490401452907	0.000192098227656233	0.000196202919426067	0.00022676286949528
70	-0.00117813033538853	0.00101836204710554	0.00264699050821616	0.00273911775003654	0.000233471252738827	0.000192091446536692	0.000196194730992697	0.000226753416182984
71	-0.00138449600140397	0.00102208790664485	0.00268530598255556	0.00271849612724883	0.000233463658417432	0.000192100530152714	0.000196196292769517	0.000226754351367771
72	-0.00149628414650813	0.0011382349604655	0.00253503594808867	0.00247924331156992	0.000233462760941152	0.000192106027177205	0.000196216735624562	0.000226756051243392
73	-0.0014141195517912	0.00125911466022698	0.00252084545067488	0.0023383309285658	0.000233459053545147	0.000192082957973054	0.000196243487301835	0.000226737127721227
74	-0.00152244795942098	0.00126171002914797	0.00258725490534315	0.00229462513662349	0.000233457664904901	0.000192046533803925	0.000196279300273652	0.00022670320086368
75	-0.00151787741128579	0.00116205769587581	0.00267052656033499	0.00217328700067282	0.000233453436193468	0.000192025868118765	0.000196265375312773	0.000226712535300302
76	-0.00155970592615691	0.00113273757939794	0.0026487976922787	0.00231959595575801	0.0002334533320046	0.000191996967463012	0.000196270186063268	0.000226718665400921
77	-0.00161719204176635	0.00111162430979845	0.00256048090201291	0.0023733145966236	0.000233467751591849	0.000191980049744185	0.000196296028950326	0.000226713175129078
78	-0.00159206880389658	0.00095489183472087	0.00252722702246877	0.00231155986626165	0.000233480260281587	0.000192010329294401	0.00019630809303611	0.000226700375630491
79	-0.00155232069303384	0.000849761370740742	0.0025416091543595	0.00240172781403873	0.00023348636089111	0.000192054132405889	0.00019631578799893	0.000226691152531789
